asteroid_id,asteroid_name,approach_date,approach_date_full,velocity_km_s,distance_km,is_hazardous
3840725,(2019 FL1),2025-09-30,2025-Sep-30 03:03,26.5509255762,71678586.12565972,false
54073368,(2020 UV),2025-09-30,2025-Sep-30 07:37,14.0812231707,27925414.64598116,false
54307195,(2022 SS7),2025-09-30,2025-Sep-30 02:07,31.5089657323,55832162.335105635,false
54347989,(2023 EH2),2025-09-30,2025-Sep-30 00:30,17.8479387621,7589014.539676017,false
54398529,(2023 UQ6),2025-09-30,2025-Sep-30 12:08,16.7242676581,55145661.838576846,false
54486547,(2024 TO),2025-09-30,2025-Sep-30 15:56,17.2855060151,50148941.497773685,false
54546473,(2025 SA3),2025-09-30,2025-Sep-30 14:57,7.2120774082,2681697.192097782,false
54547734,(2025 SX10),2025-09-30,2025-Sep-30 16:26,3.2670845434,2534747.698069753,false
54549129,(2025 SK27),2025-09-30,2025-Sep-30 03:59,10.8206148218,8846125.264239011,false
54549126,(2025 SM27),2025-09-30,2025-Sep-30 16:30,7.8499711093,4611839.668159854,false
54549125,(2025 SN27),2025-09-30,2025-Sep-30 11:46,7.9198289874,11095183.6809615,false
54549693,(2025 TE),2025-09-30,2025-Sep-30 17:56,14.8708828224,279945.246731808,false
54550571,(2025 TK1),2025-09-30,2025-Sep-30 18:17,9.7508039956,6032457.408922051,false
54550573,(2025 TN1),2025-09-30,2025-Sep-30 10:05,7.521290186,3349879.070410182,false
2350523,350523 (2000 EA14),2025-09-25,2025-Sep-25 03:39,4.427725204,10550794.39910899,true
3014110,(1998 SU4),2025-09-25,2025-Sep-25 01:34,31.4377271034,51388944.95791283,true
3295789,(2005 UQ),2025-09-25,2025-Sep-25 07:32,8.2841135138,10975238.726758227,false
3559599,(2011 EO40),2025-09-25,2025-Sep-25 07:13,12.167041344,11555471.882659543,true
3655971,(2014 AN51),2025-09-25,2025-Sep-25 07:48,17.9783163789,55771505.60482651,false
3736807,(2015 YA),2025-09-25,2025-Sep-25 13:05,9.4319777736,41132945.24914674,false
3748492,(2016 FW13),2025-09-25,2025-Sep-25 00:08,6.466434908,61322417.044482246,false
3893213,(2019 VS5),2025-09-25,2025-Sep-25 11:54,26.4929380349,72295149.94707882,false
54075314,(2020 TJ8),2025-09-25,2025-Sep-25 13:49,2.5872294858,52580115.903417654,false
54276656,(2022 HK2),2025-09-25,2025-Sep-25 15:10,31.4201402314,69329296.43292724,false
54392428,(2023 TC5),2025-09-25,2025-Sep-25 12:01,15.2541669294,52912212.52344931,false
54434347,(2024 GZ5),2025-09-25,2025-Sep-25 11:14,7.2166527062,17764851.3172556,false
54541542,(2025 QA4),2025-09-25,2025-Sep-25 11:32,11.0339941799,11639474.228219813,true
54545414,(2025 RX3),2025-09-25,2025-Sep-25 07:30,11.1614683254,5771222.771705392,false
54545416,(2025 RC4),2025-09-25,2025-Sep-25 22:19,9.9886563432,3262172.382392972,false
54545430,(2025 RX4),2025-09-25,2025-Sep-25 09:05,9.972098262,1085046.081888737,false
54546123,(2025 RX6),2025-09-25,2025-Sep-25 07:10,4.5647237764,20106714.657565754,false
54545783,(2025 SS),2025-09-25,2025-Sep-25 19:23,8.8463144118,1923452.893149495,false
